iter	Passed	Remaining
867	17671	2687
868	17690	2666
869	17708	2646
870	17727	2625
871	17747	2605
872	17765	2584
873	17784	2563
874	17803	2543
875	17822	2522
876	17843	2502
877	17861	2481
878	17879	2461
879	17898	2440
880	17916	2420
881	17934	2399
882	17953	2378
883	17972	2358
884	17990	2337
885	18009	2317
886	18028	2296
887	18048	2276
888	18068	2255
889	18086	2235
890	18105	2214
891	18124	2194
892	18146	2174
893	18164	2153
894	18183	2133
895	18201	2112
896	18219	2092
897	18237	2071
898	18255	2050
899	18274	2030
900	18294	2010
901	18312	1989
902	18331	1969
903	18350	1948
904	18372	1928
905	18390	1908
906	18411	1887
907	18430	1867
908	18449	1847
909	18469	1826
910	18488	1806
911	18506	1785
912	18524	1765
913	18543	1744
914	18563	1724
915	18581	1704
916	18602	1683
917	18621	1663
918	18639	1642
919	18658	1622
920	18677	1602
921	18695	1581
922	18715	1561
923	18734	1540
924	18753	1520
925	18771	1500
926	18791	1479
927	18810	1459
928	18829	1439
929	18848	1418
930	18868	1398
931	18887	1378
932	18907	1357
933	18926	1337
934	18945	1317
935	18964	1296
936	18982	1276
937	19001	1255
938	19020	1235
939	19039	1215
940	19058	1194
941	19077	1174
942	19096	1154
943	19115	1133
944	19133	1113
945	19152	1093
946	19170	1072
947	19189	1052
948	19212	1032
949	19231	1012
950	19249	991
951	19268	971
952	19286	951
953	19306	930
954	19325	910
955	19345	890
956	19364	870
957	19383	849
958	19401	829
959	19420	809
960	19439	788
961	19459	768
962	19477	748
963	19496	728
964	19515	707
965	19533	687
966	19551	667
967	19570	646
968	19589	626
969	19608	606
970	19626	586
971	19644	565
972	19663	545
973	19682	525
974	19703	505
975	19723	485
976	19741	464
977	19759	444
978	19777	424
979	19796	404
980	19814	383
981	19833	363
982	19856	343
983	19875	323
984	19893	302
985	19911	282
986	19928	262
987	19947	242
988	19965	222
989	19985	201
990	20003	181
991	20021	161
992	20040	141
993	20059	121
994	20078	100
995	20096	80
996	20115	60
997	20134	40
998	20154	20
999	20172	0
